"constellation","figure_id","order","hip","hd","hr","gl","bf","proper","ra","dec","dist","pmra","pmdec","mag","spect","ci","bayer","flam","con","pole","pole_dist_deg"
"Her",1,7,81833,150997,6220,"","44Eta Her","",16.714933,38.922254,33.3111,35.58,-84.98,3.48,"G8III-IV",0.916,"Eta",,"Her","north",51.077746
"Her",1,8,81126,149630,6168,"","35Sig Her","",16.568384,42.437041,96.5251,-9.03,59.8,4.2,"B9Vvar",-0.013,"Sig",,"Her","north",47.562959
"Her",1,9,79992,147394,6092,"","22Tau Her","",16.329011,46.313366,94.2507,-13.15,39.31,3.91,"B5IV",-0.151,"Tau",,"Her","north",43.686634
"Her",1,10,81126,149630,6168,"","35Sig Her","",16.568384,42.437041,96.5251,-9.03,59.8,4.2,"B9Vvar",-0.013,"Sig",,"Her","north",47.562959
"Her",1,11,81833,150997,6220,"","44Eta Her","",16.714933,38.922254,33.3111,35.58,-84.98,3.48,"G8III-IV",0.916,"Eta",,"Her","north",51.077746
"Her",1,12,81693,150680,6212,"Gl 635A","40Zet Her","",16.688113,31.602726,10.7158,-462.58,345.05,2.81,"F9IV",0.65,"Zet",,"Her","north",58.397273999999996
"Her",1,13,80816,148856,6148,"","27Bet Her","Kornephoros",16.503668,21.489613,42.6621,-98.43,-14.49,2.78,"G8III",0.947,"Bet",,"Her","north",68.51038700000001
"Her",1,14,81693,150680,6212,"Gl 635A","40Zet Her","",16.688113,31.602726,10.7158,-462.58,345.05,2.81,"F9IV",0.65,"Zet",,"Her","north",58.397273999999996
"Her",1,15,83207,153808,6324,"","58Eps Her","",17.004827,30.926405,47.5285,-47.68,26.89,3.92,"A0V",-0.018,"Eps",,"Her","north",59.073595
"Her",1,16,84379,156164,6410,"GJ 3995A","65Del Her","Sarin",17.250531,24.839204,23.0362,-21.14,-157.68,3.12,"A3IVv SB",0.08,"Del",,"Her","north",65.160796
"Her",1,17,86974,161797,6623,"Gl 695A","86Mu  Her","",17.774319,27.720676,8.3105,-291.42,-750,3.42,"G5IV",0.75,"Mu",,"Her","north",62.279324
"Her",1,18,87933,163993,6703,"","92Xi  Her","",17.962744,29.24788,41.9463,82.33,-18.73,3.7,"K0III",0.935,"Xi",,"Her","north",60.752120000000005
